"","RIVER","MILE","SPECIES","LENGTH","WEIGHT","DDT"
"1","FC",5,"CCATFISH",42.5,732,10
"2","FC",5,"CCATFISH",44,795,16
"3","FC",5,"CCATFISH",41.5,547,23
"4","FC",5,"CCATFISH",39,465,21
"5","FC",5,"CCATFISH",50.5,1252,50
"6","FC",5,"CCATFISH",52,1255,150
"7","LC",3,"CCATFISH",40.5,741,28
"8","LC",3,"CCATFISH",48,1151,7.7
"9","LC",3,"CCATFISH",48,1186,2
"10","LC",3,"CCATFISH",43.5,754,19
"11","LC",3,"CCATFISH",40.5,679,16
"12","LC",3,"CCATFISH",47.5,985,5.4
"13","SC",1,"CCATFISH",44.5,1133,2.6
"14","SC",1,"CCATFISH",46,1139,3.1
"15","SC",1,"CCATFISH",48,1186,3.5
"16","SC",1,"CCATFISH",45,984,9.1
"17","SC",1,"CCATFISH",43,965,7.8
"18","SC",1,"CCATFISH",45,1084,4.1
"19","TR",275,"CCATFISH",48,986,8.4
"20","TR",275,"CCATFISH",45,1023,15
"21","TR",275,"CCATFISH",49,1266,25
"22","TR",275,"CCATFISH",50,1086,5.6
"23","TR",275,"CCATFISH",46,1044,4.6
"24","TR",275,"CCATFISH",52,1770,8.2
"25","TR",280,"CCATFISH",48,1048,6.1
"26","TR",280,"CCATFISH",51,1641,13
"27","TR",280,"CCATFISH",48.5,1331,6
"28","TR",280,"CCATFISH",51,1728,6.6
"29","TR",280,"CCATFISH",44,917,5.5
"30","TR",280,"CCATFISH",51,1398,11
"31","TR",280,"SMBUFFALO",49,1763,4.5
"32","TR",280,"SMBUFFALO",46,1459,4.2
"33","TR",280,"SMBUFFALO",52,2302,3
"34","TR",280,"SMBUFFALO",46,1614,2.3
"35","TR",280,"SMBUFFALO",46,1444,2.5
"36","TR",280,"SMBUFFALO",48,2006,6.8
"37","TR",285,"CCATFISH",44,936,19
"38","TR",285,"CCATFISH",42,1058,7.2
"39","TR",285,"CCATFISH",42.5,800,6
"40","TR",285,"CCATFISH",45.5,1087,10
"41","TR",285,"CCATFISH",48,1329,12
"42","TR",285,"CCATFISH",44,897,2.8
"43","TR",285,"LMBASS",28.5,778,0.48
"44","TR",285,"LMBASS",26,532,0.18
"45","TR",285,"LMBASS",25.5,441,0.34
"46","TR",285,"LMBASS",25,544,0.11
"47","TR",285,"LMBASS",23,393,0.22
"48","TR",285,"LMBASS",28,733,0.8
"49","TR",290,"CCATFISH",41,961,8.7
"50","TR",290,"CCATFISH",44,886,22
"51","TR",290,"CCATFISH",41,678,13
"52","TR",290,"CCATFISH",42,1011,3.5
"53","TR",290,"CCATFISH",42.5,947,9.3
"54","TR",290,"CCATFISH",44,989,21
"55","TR",290,"SMBUFFALO",43.5,1291,3.4
"56","TR",290,"SMBUFFALO",46.5,1186,13
"57","TR",290,"SMBUFFALO",43,1293,5.6
"58","TR",290,"SMBUFFALO",47,1709,12
"59","TR",290,"SMBUFFALO",46,1425,21
"60","TR",290,"SMBUFFALO",41,1176,8
"61","TR",295,"CCATFISH",36,980,12
"62","TR",295,"CCATFISH",47.5,1176,6
"63","TR",295,"CCATFISH",41.5,989,4.7
"64","TR",295,"CCATFISH",49.5,1084,31
"65","TR",295,"CCATFISH",46,1115,5.2
"66","TR",295,"CCATFISH",46.5,724,27
"67","TR",300,"CCATFISH",36,847,18
"68","TR",300,"CCATFISH",37,876,7.5
"69","TR",300,"CCATFISH",35,844,3
"70","TR",300,"CCATFISH",36,908,13
"71","TR",300,"CCATFISH",48,1358,7.3
"72","TR",300,"CCATFISH",49,1019,15
"73","TR",300,"SMBUFFALO",35.5,1300,1.3
"74","TR",300,"SMBUFFALO",46,1365,4.8
"75","TR",300,"SMBUFFALO",45,1437,5.1
"76","TR",300,"SMBUFFALO",44.5,1460,5.1
"77","TR",300,"SMBUFFALO",49,1671,4
"78","TR",300,"SMBUFFALO",47.5,1717,10
"79","TR",305,"CCATFISH",35,613,12
"80","TR",305,"CCATFISH",51,353,22
"81","TR",305,"CCATFISH",42.5,909,10
"82","TR",305,"CCATFISH",38,886,11
"83","TR",305,"CCATFISH",41,890,17
"84","TR",305,"CCATFISH",47,1031,9.7
"85","TR",310,"CCATFISH",45,1083,12
"86","TR",310,"CCATFISH",45.5,864,4.7
"87","TR",310,"CCATFISH",45,886,6
"88","TR",310,"CCATFISH",45,965,3.8
"89","TR",310,"CCATFISH",39,537,17
"90","TR",310,"CCATFISH",40.5,630,12
"91","TR",310,"SMBUFFALO",46,1486,1.4
"92","TR",310,"SMBUFFALO",47,1743,6.1
"93","TR",310,"SMBUFFALO",48.5,2061,2.8
"94","TR",310,"SMBUFFALO",48,1707,4.8
"95","TR",310,"SMBUFFALO",38,862,5.7
"96","TR",310,"SMBUFFALO",38.5,911,3.3
"97","TR",315,"CCATFISH",29.5,476,3.3
"98","TR",315,"CCATFISH",42,743,3.7
"99","TR",315,"CCATFISH",47.5,1128,9.9
"100","TR",315,"CCATFISH",43.5,848,6.8
"101","TR",315,"CCATFISH",47.5,1091,13
"102","TR",315,"CCATFISH",43.5,715,8.8
"103","TR",320,"CCATFISH",47.5,983,57
"104","TR",320,"CCATFISH",51.5,1251,96
"105","TR",320,"CCATFISH",49.5,1255,360
"106","TR",320,"CCATFISH",47,1152,130
"107","TR",320,"CCATFISH",47.5,1085,13
"108","TR",320,"CCATFISH",47,1118,61
"109","TR",320,"SMBUFFALO",36,1285,12
"110","TR",320,"SMBUFFALO",34.5,1178,33
"111","TR",320,"SMBUFFALO",44.5,1492,48
